site,city,region,spn,function
C3050022,Penrose,new-zealand,australia-southeast-basswood,INET
C3050048,New-Market,new-zealand,australia-southeast-basswood,INET
C3050096,Kawerau,new-zealand,australia-southeast-basswood,INET
C3050144,Cloverlea,new-zealand,australia-southeast-basswood,INET
C3050160,Tauriko,new-zealand,australia-southeast-basswood,INET
C3050220,Hillsborough,new-zealand,australia-southeast-basswood,INET

C3055004,Kewdale,australia-east,australia-southeast-basswood,INET
C3055020,Springvale,australia-south,australia-south-oleander,INET
C3055040,Altona,australia-south,australia-south-oleander,INET
C3055044,Larapinta,australia-east,australia-southeast-basswood,INET